vt.n,sampledate,plot,subplot,plant,in.vt,FileName,in.volsmeta
200,2019-07-24,4,C,115,TRUE,4C115_190724_812019_21.qgd,TRUE
201,2019-07-24,4,C,199,TRUE,4C199_190724_7282019_19.qgd,TRUE
202,2019-07-24,4,D,58,TRUE,4D58_190724_812019_16.qgd,TRUE
203,2019-07-24,4,D,62,TRUE,4D62_190724_7282019_20.qgd,TRUE
204,2019-07-24,4,D,43,TRUE,4D43_190724_7272019_27.qgd,TRUE
205,2019-07-24,4,C,641,TRUE,NA,FALSE
206,2019-07-24,4,C,642,TRUE,4C642_190724_7272019_18.qgd,TRUE
207,2019-07-24,4,C,643,TRUE,4C643_190724_812019_24.qgd,TRUE
208,2019-07-24,3,C,151,TRUE,NA,FALSE
209,2019-07-24,3,C,149,TRUE,3C149_190724_822019_03.qgd,TRUE
210,2019-07-24,3,C,167,TRUE,NA,FALSE
211,2019-07-24,3,B,686,TRUE,5B19_190724_822019_16.qgd,TRUE
212,2019-07-24,3,B,687,TRUE,3B687_190724_812019_14.qgd,TRUE
215,2019-07-26,3,C,161,TRUE,3B686_190724_822019_17.qgd,TRUE
216,2019-07-26,3,C,185,TRUE,3C185_190726_812019_03.qgd,TRUE
217,2019-07-26,3,C,148,TRUE,3C148_190726_812019_05.qgd,TRUE
218,2019-07-26,3,C,146,TRUE,2C300_190726_822019_11.qgd,TRUE
219,2019-07-26,3,C,142,TRUE,3C146_190726_822019_12.qgd,TRUE
220,2019-07-26,3,C,140,TRUE,5A193_190726_822019_09.qgd,TRUE
221,2019-07-26,3,C,131,TRUE,Air_190729_822019_02.qgd,TRUE
222,2019-07-26,3,C,184,TRUE,3C184_190726_812019_14.qgd,TRUE
223,2019-07-26,3,C,150,TRUE,NA,FALSE
224,2019-07-26,3,C,183,TRUE,NA,FALSE
225,2019-07-26,1,B,657,TRUE,3C131_190726_822019_03.qgd,TRUE
226,2019-07-26,2,D,205,TRUE,2D212A_190726_822019_08.qgd,TRUE
227,2019-07-26,2,D,209,TRUE,1B657_190726_822019_04.qgd,TRUE
228,2019-07-26,2,D,212,TRUE,NA,FALSE
229,2019-07-26,2,D,212,TRUE,NA,FALSE
230,2019-07-26,2,C,202,TRUE,2D212B_190726_822019_06.qgd,TRUE
231,2019-07-26,2,D,256,TRUE,2D205_190726_822019_09.qgd,TRUE
232,2019-07-26,2,A,166,TRUE,NA,FALSE
233,2019-07-26,2,C,300,TRUE,2D256_190726_822019_10.qgd,TRUE
234,2019-08-05,6,D,79,TRUE,6D79_190805_8112019_07.qgd,TRUE
235,2019-08-05,6,B,2,TRUE,6B2_190805_8112019_05.qgd,TRUE
236,2019-08-05,6,B,7,TRUE,6B7_190805_8112019_06.qgd,TRUE
237,2019-08-05,6,B,36,TRUE,6B36_190805_8112019_04.qgd,TRUE
238,2019-08-05,4,D,46,TRUE,4D46_190805_8112019_02.qgd,TRUE
239,2019-08-05,4,D,54,TRUE,4D54_190805_8112019_21.qgd,TRUE
240,2019-08-05,2,D,256,TRUE,2D256_190805_8112019_10.qgd,TRUE
241,2019-08-05,2,D,258,TRUE,NA,FALSE
242,2019-08-05,4,A,124,TRUE,4A124_190805_8112019_08.qgd,TRUE
243,2019-08-05,4,A,168,TRUE,4A168_190805_8112019_03.qgd,TRUE
245,2019-07-22,2,B,201,TRUE,NA,FALSE
246,2019-07-22,2,D,257,TRUE,2D257_190722_7272019_12.qgd,TRUE
247,2019-07-22,2,C,268,TRUE,2C268_190722_7272019_10.qgd,TRUE
248,2019-07-22,2,B,92,TRUE,2B92_190722_7272019_13.qgd,TRUE
249,2019-07-22,2,A,679,TRUE,2A679_190722_7272019_15.qgd,TRUE
250,2019-07-22,2,A,158,TRUE,2A158_190722_7272019_14.qgd,TRUE
251,2019-07-22,3,C,183,TRUE,3C183_190722_7272019_19.qgd,TRUE
251,2019-07-22,3,C,183,TRUE,3C183_190722_7272019_19.qgd,TRUE
252,2019-07-22,3,C,184,TRUE,3C184_190722_7272019_20.qgd,TRUE
253,2019-07-22,3,A,120,TRUE,3A120_190722_7282019_10.qgd,TRUE
254,2019-07-22,5,C,228,TRUE,5C228_190722_7272019_21.qgd,TRUE
255,2019-07-22,5,C,514,TRUE,NA,FALSE
256,2019-07-22,5,D,257,TRUE,5D257_190722_7282019_02.qgd,TRUE
257,2019-07-22,4,D,35,TRUE,NA,FALSE
258,2019-07-22,4,D,60,TRUE,NA,FALSE
260,2019-07-16,4,A,123,TRUE,6C108_190707_7262019_03.qgd,TRUE
261,2019-07-16,4,C,109,TRUE,nolabel_190716_7262019_16.qgd,TRUE
262,2019-07-16,4,D,61,TRUE,3D256_190716_7262019_09.qgd,TRUE
263,2019-07-16,4,B,168,TRUE,1C43_190717_7262019_14.qgd,TRUE
265,2019-07-16,3,C,214,TRUE,3D282_190716_7262019_11.qgd,TRUE
266,2019-07-16,3,D,256,TRUE,1B684_190717_7262019_08.qgd,TRUE
268,2019-07-22,1,C,47,TRUE,NA,FALSE
269,2019-07-22,1,C,43,TRUE,NA,FALSE
270,2019-07-22,1,B,684,TRUE,NA,FALSE
271,2019-07-22,2,D,211,TRUE,NA,FALSE
272,2019-07-22,3,C,183,TRUE,3C183_190722_7272019_19.qgd,TRUE
272,2019-07-22,3,C,183,TRUE,3C183_190722_7272019_19.qgd,TRUE
273,2019-07-22,4,D,199,TRUE,NA,FALSE
274,2019-07-22,4,A,68,TRUE,NA,FALSE
276,2019-07-24,5,A,179,TRUE,5A174_190724_822019_11.qgd,TRUE
277,2019-07-24,5,B,19,TRUE,5B3_190724_822019_15.qgd,TRUE
278,2019-07-24,5,C,201,TRUE,5C201_190724_7282019_08.qgd,TRUE
279,2019-07-24,5,C,229,TRUE,5C229_190724_7282019_09.qgd,TRUE
280,2019-07-24,5,D,246,TRUE,5D246_190724_822019_06.qgd,TRUE
281,2019-07-24,5,B,3,TRUE,6C122_190724_822019_14.qgd,TRUE
282,2019-07-24,5,A,183,TRUE,5A183_190724_7282019_18.qgd,TRUE
283,2019-07-24,5,A,174,TRUE,3C140_190726_822019_10.qgd,TRUE
284,2019-07-24,6,B,23,TRUE,6B23_190724_822019_04.qgd,TRUE
285,2019-07-24,6,B,35,TRUE,6B35_190724_7272019_17.qgd,TRUE
286,2019-07-24,6,D,39,TRUE,5A179_190724_822019_12.qgd,TRUE
287,2019-07-24,6,C,122,TRUE,6D39_190724_822019_13.qgd,TRUE
288,2019-07-24,1,A,246,TRUE,1A246_190724_812019_13.qgd,TRUE
289,2019-07-24,1,A,258,TRUE,1A258_190724_7282019_17.qgd,TRUE
290,2019-07-24,1,A,236,TRUE,1A236_190724_812019_09.qgd,TRUE
291,2019-07-24,1,A,239,TRUE,1A239_190724_812019_10.qgd,TRUE
