index	observer	date	plot.x	subplot.x	plant	bag	pump	end	flowers	buds	pump_id	VWC	notes	plotid	plantid	plot.y	subplot.y	water	snow	water4
135	ST	2020-07-29T00:00:00Z	4	A	101	1899-12-30T09:30:00Z	1899-12-30T10:00:00Z	1899-12-30T10:15:00Z	1	0	3	13.2	NA	4A	4A101	4	A	Addition	Early	Addition
136	ST	2020-07-29T00:00:00Z	4	A	80	1899-12-30T09:33:00Z	1899-12-30T10:03:00Z	1899-12-30T10:18:00Z	1	0	9	8.3	NA	4A	4A80	4	A	Addition	Early	Addition
137	ST	2020-07-29T00:00:00Z	4	A	85	1899-12-30T09:50:00Z	1899-12-30T10:20:00Z	1899-12-30T10:35:00Z	1	0	4	10.8	NA	4A	4A85	4	A	Addition	Early	Addition
138	ST	2020-07-29T00:00:00Z	4	A	99	1899-12-30T09:53:00Z	1899-12-30T10:23:00Z	1899-12-30T10:38:00Z	1	0	3	12.3	NA	4A	4A99	4	A	Addition	Early	Addition
139	ST	2020-07-29T00:00:00Z	4	B	594	1899-12-30T09:56:00Z	1899-12-30T10:26:00Z	1899-12-30T10:41:00Z	1	0	9	9.2	NA	4B	4B594	4	B	Control	Early	Mock rainout
140	ST	2020-07-29T00:00:00Z	4	C	213	1899-12-30T10:13:00Z	1899-12-30T10:43:00Z	1899-12-30T10:58:00Z	1	0	4	9.9	NA	4C	4C213	4	C	Control	Early	Control
141	ST	2020-07-29T00:00:00Z	4	C	187	1899-12-30T10:16:00Z	1899-12-30T10:46:00Z	1899-12-30T11:01:00Z	1	0	3	8.9	NA	4C	4C187	4	C	Control	Early	Control
142	ST	2020-07-29T00:00:00Z	4	C	120	1899-12-30T10:19:00Z	1899-12-30T10:49:00Z	1899-12-30T11:04:00Z	1	1	9	7.3	NA	4C	4C120	4	C	Control	Early	Control
143	ST	2020-07-29T00:00:00Z	4	C	195	1899-12-30T10:33:00Z	1899-12-30T11:03:00Z	1899-12-30T11:18:00Z	1	0	4	9.9	popped out very briefly	4C	4C195	4	C	Control	Early	Control
144	ST	2020-07-29T00:00:00Z	4	D	37	1899-12-30T10:36:00Z	1899-12-30T11:06:00Z	1899-12-30T11:21:00Z	1	0	3	7.3	NA	4D	4D37	4	D	Reduction	Early	Reduction
145	ST	2020-07-29T00:00:00Z	NA	NA	air	1899-12-30T10:39:00Z	1899-12-30T11:09:00Z	1899-12-30T11:24:00Z	0	0	9	NA	NA	NANA	NANAair	NA	NA	NA	NA	NA
146	ST	2020-07-29T00:00:00Z	5	D	247	1899-12-30T11:12:00Z	1899-12-30T11:42:00Z	1899-12-30T11:57:00Z	1	0	4	7.3	popped out for an unknown time	5D	5D247	5	D	Control	Early	Control
147	ST	2020-07-29T00:00:00Z	6	D	46	1899-12-30T11:14:00Z	1899-12-30T11:44:00Z	1899-12-30T11:59:00Z	1	0	3	12.1	NA	6D	6D46	6	D	Addition	Normal	Addition
148	ST	2020-07-29T00:00:00Z	6	C	96	1899-12-30T11:16:00Z	1899-12-30T11:46:00Z	1899-12-30T12:01:00Z	1	1	9	10.5	NA	6C	6C96	6	C	Control	Normal	Mock rainout
149	JP	2020-07-30T00:00:00Z	6	C	111	NA	NA	NA	NA	NA	NA	NA	NA	6C	6C111	6	C	Control	Normal	Mock rainout
150	JP	2020-07-30T00:00:00Z	6	C	116	NA	NA	NA	NA	NA	NA	NA	NA	6C	6C116	6	C	Control	Normal	Mock rainout
151	JP	2020-07-30T00:00:00Z	6	C	121	NA	NA	NA	NA	NA	NA	NA	NA	6C	6C121	6	C	Control	Normal	Mock rainout
152	JP	2020-07-30T00:00:00Z	6	A	145	NA	NA	NA	NA	NA	NA	NA	NA	6A	6A145	6	A	Control	Normal	Control
153	JP	2020-07-30T00:00:00Z	6	A	136	NA	NA	NA	NA	NA	NA	NA	NA	6A	6A136	6	A	Control	Normal	Control
154	JP	2020-07-30T00:00:00Z	6	D	59	NA	NA	NA	NA	NA	NA	NA	NA	6D	6D59	6	D	Addition	Normal	Addition
155	JP	2020-07-30T00:00:00Z	6	D	64	NA	NA	NA	NA	NA	NA	NA	NA	6D	6D64	6	D	Addition	Normal	Addition
156	JP	2020-07-30T00:00:00Z	6	D	48	NA	NA	NA	NA	NA	NA	NA	NA	6D	6D48	6	D	Addition	Normal	Addition
157	JP	2020-07-30T00:00:00Z	5	B	289	NA	NA	NA	NA	NA	NA	NA	NA	5B	5B289	5	B	Control	Early	Mock rainout
158	JP	2020-07-30T00:00:00Z	5	B	299	NA	NA	NA	NA	NA	NA	NA	NA	5B	5B299	5	B	Control	Early	Mock rainout
159	JP	2020-07-30T00:00:00Z	5	B	296	NA	NA	NA	NA	NA	NA	NA	NA	5B	5B296	5	B	Control	Early	Mock rainout
160	JP	2020-07-30T00:00:00Z	5	C	217	NA	NA	NA	NA	NA	NA	NA	NA	5C	5C217	5	C	Reduction	Early	Reduction
161	JP	2020-07-30T00:00:00Z	5	C	683	NA	NA	NA	NA	NA	NA	NA	NA	5C	5C683	5	C	Reduction	Early	Reduction
162	JP	2020-07-30T00:00:00Z	5	C	207	NA	NA	NA	NA	NA	NA	NA	NA	5C	5C207	5	C	Reduction	Early	Reduction
163	JP	2020-07-30T00:00:00Z	5	C	208	NA	NA	NA	NA	NA	NA	NA	NA	5C	5C208	5	C	Reduction	Early	Reduction
164	JP	2020-07-30T00:00:00Z	5	B	air	NA	NA	NA	NA	NA	NA	NA	NA	5B	5Bair	5	B	Control	Early	Mock rainout
165	BV	2020-07-30T00:00:00Z	3	B	828	1899-12-30T09:26:00Z	1899-12-30T09:56:00Z	1899-12-30T10:11:00Z	1	0	7	10.7	NA	3B	3B828	3	B	Control	Normal	Mock rainout
166	BV	2020-07-30T00:00:00Z	3	B	838	1899-12-30T09:31:00Z	1899-12-30T10:01:00Z	1899-12-30T10:16:00Z	2	0	10	12.4	NA	3B	3B838	3	B	Control	Normal	Mock rainout
167	BV	2020-07-30T00:00:00Z	3	B	618	1899-12-30T09:47:00Z	1899-12-30T10:17:00Z	1899-12-30T10:32:00Z	1	0	7	7.8	NA	3B	3B618	3	B	Control	Normal	Mock rainout
168	BV	2020-07-30T00:00:00Z	3	A	641	1899-12-30T09:49:00Z	1899-12-30T10:19:00Z	1899-12-30T10:34:00Z	1	0	10	7.5	NA	3A	3A641	3	A	Reduction	Normal	Reduction
169	BV	2020-07-30T00:00:00Z	3	D	176	NA	NA	NA	NA	NA	NA	NA	NOT FOUND	3D	3D176	3	D	Control	Normal	Control
170	BV	2020-07-30T00:00:00Z	3	D	881	1899-12-30T10:16:00Z	1899-12-30T10:46:00Z	1899-12-30T11:01:00Z	1	0	7	8.1	NA	3D	3D881	3	D	Control	Normal	Control
171	BV	2020-07-30T00:00:00Z	3	D	895	1899-12-30T10:26:00Z	1899-12-30T10:56:00Z	1899-12-30T11:11:00Z	1	1	10	5.6	NA	3D	3D895	3	D	Control	Normal	Control
172	BV	2020-07-30T00:00:00Z	5	A	180	1899-12-30T11:06:00Z	1899-12-30T11:36:00Z	1899-12-30T11:52:00Z	2	0	7	14.6	NA	5A	5A180	5	A	Addition	Early	Addition
173	BV	2020-07-30T00:00:00Z	6	A	145	1899-12-30T11:08:00Z	1899-12-30T11:38:00Z	1899-12-30T11:53:00Z	1	0	10	7.9	NA	6A	6A145	6	A	Control	Normal	Control
