year	plotid	plant	plantid	WUE_1819	discard	separate	modify	plantid_new	transition_fixed	status_18_fixed	status_19_fixed	status_20_fixed	modified	flowered	survived	plot	subplot
2018	4A	104	4A104	89.917		census20		NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	0	0	4	A
2018	5A	200	5A200	54.836				NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	1	1	5	A
2018	6D	70	6D70	45.02				NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	1	1	6	D
2018	2D	187	2D187	55.335				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	2	D
2018	3C	153	3C153	127.864				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	3	C
2018	4A	109	4A109	80.374				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	4	A
2018	5A	174	5A174	153.282				NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	0	0	5	A
2018	6D	60	6D60	41.041		seeds19		NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	0	0	6	D
2019	1B	660	1B660	31.081				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	1	B
2019	1B	658	1B658	73.769				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	1	1	1	B
2019	1B	662	1B662	78.356		pheno18		NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	1	B
2019	1B	650	1B650	48.226				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	1	1	1	B
2019	1B	647	1B647	54.421				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	1	B
2019	1D	16	1D16	51.174				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	1	D
2019	1D	25	1D25	63.255				NA	vegetative > vegetative > dead_nf	vegetative	vegetative	dead_nf	FALSE	0	0	1	D
2019	1D	9	1D9	45.785				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	1	1	1	D
2019	1D	20	1D20	40.668				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	1	1	1	D
2019	1D	41	1D41	80.589		pheno20		NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	1	D
2019	2A	95	2A95	24.443				NA	no_record > vegetative > vegetative	no_record	vegetative	vegetative	FALSE	0	1	2	A
2019	2A	176	2A176	39.257				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	2	A
2019	2A	164	2A164	49.965				NA	no_record > vegetative > dead_nf	no_record	vegetative	dead_nf	FALSE	0	0	2	A
2019	2A	685	2A685	58.571				NA	no_record > vegetative > flowering	no_record	vegetative	flowering	FALSE	1	1	2	A
2019	2A	164	2A164	56.628				NA	no_record > vegetative > dead_nf	no_record	vegetative	dead_nf	FALSE	0	0	2	A
2019	2B	137	2B137	NA				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	2	B
2019	2B	189	2B189	67.97				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	1	1	2	B
2019	2B	85	2B85	83.475				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	1	1	2	B
2019	2B	138	2B138	60.403				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	1	1	2	B
2019	2B	86	2B86	89.721				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	1	1	2	B
2019	2B	137	2B137	149.575				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	2	B
2019	3B	838	3B838	29.443				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	1	1	3	B
2019	3B	624	3B624	20.442				NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	0	0	3	B
2019	3B	621	3B621	56.707				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	1	1	3	B
2019	3B	838	3B838	41.889				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	1	1	3	B
2019	3B	619	3B619	74.198				NA	vegetative > vegetative > dead_nf	vegetative	vegetative	dead_nf	FALSE	0	0	3	B
2019	3D	851	3D851	32.821				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	1	1	3	D
2019	3D	891	3D891	45.47				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	3	D
2019	3D	888	3D888	NA				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	3	D
2019	3D	894	3D894	24.117				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	1	1	3	D
2019	3D	881	3D881	52.447				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	1	1	3	D
2019	3D	888	3D888	76.579				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	3	D
2019	4B	190	4B190	25.094				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	4	B
2019	4B	214	4B214	97.528				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	4	B
2019	4B	206	4B206	44.735				NA	vegetative > vegetative > dead_nf	vegetative	vegetative	dead_nf	FALSE	0	0	4	B
2019	4B	211	4B211	54.91				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	1	1	4	B
2019	4C	195	4C195	22.684				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	1	1	4	C
2019	4C	30	4C30	40.222				NA	vegetative > vegetative > dead_nf	vegetative	vegetative	dead_nf	FALSE	0	0	4	C
2019	4C	163	4C163	79.578				NA	NA	NA	NA	NA	FALSE	NA	NA	4	C
2019	4C	189	4C189	39.495				NA	vegetative > vegetative > dead_nf	vegetative	vegetative	dead_nf	FALSE	0	0	4	C
2019	4C	630	4C630	77.535				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	4	C
2019	4C	106	4C106	108.778				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	4	C
2019	5B	289	5B289	NA				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	1	1	5	B
2019	5B	7	5B7	41.412				NA	flowering > vegetative > vegetative	flowering	vegetative	vegetative	FALSE	0	1	5	B
2019	5B	12	5B12	38.844				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	1	1	5	B
2019	5B	287	5B287	66.426				NA	vegetative > vegetative > no_record	vegetative	vegetative	no_record	FALSE	NA	NA	5	B
2019	5B	296	5B296	141.748				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	1	1	5	B
2019	5B	289	5B289	94.431				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	1	1	5	B
2019	5D	244	5D244	36.816				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	5	D
2019	5D	281	5D281	61.187				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	5	D
2019	5D	275	5D275	69.663				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	1	1	5	D
2019	5D	250	5D250	65.267				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	1	1	5	D
2019	5D	289	5D289	72.772				NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	0	0	5	D
2019	6A	168	6A168	21.074				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	6	A
2019	6A	165	6A165	72.509				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	1	1	6	A
2019	6A	169	6A169	59.697				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	1	1	6	A
2019	6A	150	6A150	55.095				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	6	A
2019	6A	153	6A153	41.358				NA	vegetative > vegetative > dead_nf	vegetative	vegetative	dead_nf	FALSE	0	0	6	A
2019	6C	96	6C96	26.477				NA	vegetative > flowering > flowering	vegetative	flowering	flowering	FALSE	1	1	6	C
2019	6C	86	6C86	77.793				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	1	1	6	C
2019	6C	81	6C81	112.3		pheno19		NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	6	C
2019	6C	113	6C113	33.305				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	1	1	6	C
2019	6C	116	6C116	62.306				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	1	1	6	C
2019	1C	55	1C55	103.027				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	1	C
2019	1C	75	1C75	72.114				NA	vegetative > vegetative > dead_nf	vegetative	vegetative	dead_nf	FALSE	0	0	1	C
2019	1C	60	1C60	39.951				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	1	1	1	C
2019	1C	57	1C57	77.22				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	1	C
2019	1C	54	1C54	62.312				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	1	1	1	C
2019	2C	296	2C296	52.711				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	2	C
2019	2C	271	2C271	21.813				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	1	1	2	C
2019	2C	299	2C299	NA		pheno18		NA	vegetative > vegetative > dead_nf	vegetative	vegetative	dead_nf	FALSE	0	0	2	C
2019	2C	293	2C293	103.212				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	1	1	2	C
2019	2C	299	2C299	194.765		pheno18		NA	vegetative > vegetative > dead_nf	vegetative	vegetative	dead_nf	FALSE	0	0	2	C
2019	3A	273	3A273	36.881				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	1	1	3	A
2019	3A	657	3A657	55.109		pheno19		NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	1	1	3	A
2019	3A	658	3A658	NA				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	3	A
2019	3A	129	3A129	83.078				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	3	A
2019	3A	655	3A655	46.146				NA	vegetative > vegetative > dead_nf	vegetative	vegetative	dead_nf	FALSE	0	0	3	A
2019	3A	658	3A658	96.793				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	3	A
2019	4D	37	4D37	101.697				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	1	1	4	D
2019	4D	28	4D28	142.69		pheno18		NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	4	D
2019	4D	47	4D47	41.244				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	1	1	4	D
2019	4D	49	4D49	56.499				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	1	1	4	D
2019	5C	223	5C223	NA				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	5	C
2019	5C	207	5C207	33.628				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	1	1	5	C
