plantid	other_notes_21	cen181920	size20	notes1818r2_19_20chk1920
3A271		 V |DNF|DNF	,,	,|nf|,
3A272		 V | F |DNF	0,,	,||,
3A273		 V | V | F 	1,,	,||already flagged,
3A274		 V | F |DNF	0,,	,||,died and nf?
3A275		 V |DNF|DNF	0,,	,|dead|,
3A276	recheck - says 1 rosette but 3 entries	 V | F |DNF	0,,	,|1 ts|,
3A277	recheck - count rosettes	 V | V | V 	1,22,48	,||,
3A278		 V | V | F 	1,,	,||,
3A632		 V | V | V 	1,18,50	,||,
3A633		 V | V |DNF	0,,	,|chewed;ts|,
3A634	says NF (JP added ""T"") but have entry for 3A634_20, so changed to O	 V |DNF|DNF	,,	,|dead|,
3A634_20		 V |DNF|DNF	2,23,42	,||,resurrected?
3A635		 V | F |DNF	0,,	,||,
3A636		 V | V | F 	1,,	,||already flagged,
3A637		 V | V | V 	2,12,32	,|ts|,
3A638		 V | V | F 	2,,	,|above tag|,
3A639		 V |DNF|DNF	0,,	,|dead|,
3A640		 V | V | V 	2,7,27	,|eaten;ts|,regrew?
3A641		 V | V | F 	2,,	,||,
3A642		 V | F |DNF	0,,	,||,died and nf?
3A643		 V | V | F 	1,,	,|nf|,refound?
3A644	recheck - says 4 rosettes but 3 entries	 V | V | V 	1,28,33	,|tagnf|,tagnf last year
3A645		 V |DNF|DNF	,,	,|dead|,
3A645_20	recheck - says 3 rosettes but 4 entries	 V |DNF|DNF	1,23,53	,||,resurrected?
3A645B		 V |DNF|DNF	,,	,|dead|,
3A646		 V |DNF|DNF	1,,	,|dead|,resurrected?
3A647		 F | V |DNF	0,,	,||,died and nf?
3A647_19		 F | V |DNF	,,	,|up L|,
3A648	recheck - count rosettes	 V | V | V 	1,20,43	,||,
3A649		 V | V |TNF	,,	,|chewed;ts|,
3A650		 V | V | V 	1,23,50	,|eaten;ts; above tag|,regrew?
3A651		 V | V |DNF	0,,	,||,died and nf?
3A652	says ""NF"" but all other plants not found coded as ""D"" on this sheet	 V | V | V 	1,14,59	,|upper r of tag|,
3A653		 V | V |DNF	0,,	,|eaten;ts|,
3A654		 V |DNF|DNF	0,,	,dead|nf|,
3A655		 V | V |DNF	0,,	,||,died and nf?
3A656		 V | V |TNF	,,	,||,
3A657		 V | V | F 	1,12,31	,|eaten;ts|,
3A658		 V | V | V 	0,,	,|eaten;ts|,chew death
3A659		 V | F |DNF	,,	,||,
3B601		 F |DNF|DNF	0,,	,|dead|,
3B602	TAG RIPPED OFF	 V | V |NA 	,,	,||,
3B603		 V | V | F 	,,	,||,
3B604		 V | V |NA 	,,	,||,
3B605		 V | F |DNF	,,	,||,
3B606		 F |DNF|DNF	0,,	,|dead|,
3B607		 V | V | V 	1,3,27	,||,
3B608		 V | V | V 	1,14,42	,||,
3B609		 V |DNF|DNF	0,,	,|dead|,
3B610		 V | V | V 	1,24,59	,||,
3B611		 V | F |DNF	,,	,||,
3B612		 V | V |NA 	,,	,||,
3B613		 V |DNF|DNF	0,,	,gone|dead|,
3B614		 V | V | V 	2,12,32	,||,
3B615		 V | V |NA 	,,	,||,
3B616		 V |DNF|DNF	0,,	,|dead|,
3B617	TAG DETACHED	 V | V |NA 	,,	,||,
3B618		 V | V | F 	,,	,||,
3B619		 V | V |DNF	0,,	,||,died and nf?
3B620		 V |DNF|DNF	0,,	very wilted,dead|dead|,
3B621		 V | V | F 	1,,	,||,
3B622		 V | V |NA 	,,	,||,
3B623	recheck - count stalks and rosettes	 V | V |NA 	,,	,||,
3B624		 V | F |DNF	,,	,||,rosettes? flowered and lived?
3B686		 V | F |DNF	0,,	,||,
3B687		 V | F |DNF	0,,	,||,
3B821	recheck - count stalks and rosettes	 V | V | V 	1,16,21	,||,
3B822		 V | V | F 	2,,	,|ts|,
3B823		 V | F | V 	1,18,43	,||,flowered and lived?
3B824		 F |DNF|DNF	0,,	,|dead|,
3B825		 V | V | V 	1,11,26	,||,
3B826		 V |TNF|DNF	0,,	,|tagnf|,tagnf last year
3B827	TAG FOUND	 V |TNF|TNF	,,	,|tagnf|,
3B828		 V | V | F 	2,,	,||,
3B829		 V | V |DNF	0,,	munched,|ts|,died and nf?
3B830		 V |DNF|DNF	0,,	munched,dead|nf|,
3B831		 V | V | F 	1,,	,||already flagged,
3B832		 V | V |TNF	,,	,||,
3B833		 F |DNF|DNF	0,,	,|dead|,
3B834		 V | V | V 	1,12,41	,||,
3B835		 V | V | V 	0,,	,||,died and nf?
3B836		 V |DNF|DNF	0,,	,|dead|,
3B837		 V | V | V 	1,15,36	,||,
3B838		 V | V | F 	4,,	breaking,||already flagged,
3C120_20		NA |NA |DNF	0,,	,||,check tag #
3C122		 V | F | V 	1,6,11	,||,flowered and lived?
3C123		 V | V |DNF	0,,	,||,
3C124		 V | V | V 	1,10,19	,||,
3C125		 V | V |DNF	0,,	,|ts|,died and nf?
3C126		 V | V | F 	1,,	,|ts|,
3C127		 F |DNF|DNF	0,,	,|dead|,
3C128		 V | V |DNF	0,,	,||,
3C129		 V | V |DNF	0,,	,||,
3C130		 V | F |DNF	0,,	,||,
3C131		 V | F | F 	0,,	,||,
3C132		 F |DNF|DNF	0,,	,|dead|,
3C133		 V | V | F 	1,,	,||,
3C134		 V |DNF|DNF	0,,	,|dead|,
3C135		 V | V |DNF	0,,	,||,died and nf?
3C136	changed from NF to O	 V |DNF|DNF	,,	,|dead|,
3C136_20		 V |DNF|DNF	1,10,21	,||,resurrected?
3C137		 V | V | F 	1,,	,||,
3C138		 V | F |DNF	0,,	,||flowered last year,
3C139		 V | V | F 	2,,	,||,
