date_collected	plot	subplot	plant	wet_weight_g	dry_weight_g	trichomes	trichomes_AP	leaf_area_cm2	notes	trichome_density	sla	water_content	location	plotid	plantid	year	round	sla_wet	discard	separate	modify	plantid_new	transition_fixed	status_18_fixed	status_19_fixed	status_20_fixed	modified	flowered	survived	water	water4	sun_time	sun_date	warm_time	warm_date	snow	sun_date_normal_mean	melt_offset	water_begin	water_end	last_day	precip_prewater_mm	precip_postwater_mm	precip_est_mm
2018-08-15T00:00:00Z	2	D	204	0.04186	0.01196	169	NA	1.437	NA	117.60612386917188	120.15050167224081	0.7142857142857143	NA	2D	2D204	2018	2	34.32871476349737				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	Addition	Addition	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	7.917959090348241	128.45676240123066	136.3747214915789
2018-08-15T00:00:00Z	3	A	276	0.03738	0.01365	101	NA	1.381	NA	73.13540912382332	101.17216117216117	0.6348314606741572	NA	3A	3A276	2018	2	36.94489031567684				NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	1	1	Reduction	Reduction	2018-04-29T18:00:00Z	119	2018-04-28T22:00:00Z	118	Normal	119	0	157	222	212	7.3525465864861	16.103381200615335	23.455927787101434
2018-08-15T00:00:00Z	3	A	650	0.02056	0.00813	145	NA	0.856	NA	169.39252336448598	105.28905289052891	0.6045719844357976	NA	3A	3A650	2018	2	41.63424124513619				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	Reduction	Reduction	2018-04-29T18:00:00Z	119	2018-04-28T22:00:00Z	118	Normal	119	0	157	222	212	7.3525465864861	16.103381200615335	23.455927787101434
2018-08-15T00:00:00Z	3	A	657	0.03471	0.01146	78	NA	1.167	NA	66.83804627249357	101.8324607329843	0.6698357821953328	NA	3A	3A657	2018	2	33.62143474503026		pheno19		NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	Reduction	Reduction	2018-04-29T18:00:00Z	119	2018-04-28T22:00:00Z	118	Normal	119	0	157	222	212	7.3525465864861	16.103381200615335	23.455927787101434
2018-08-15T00:00:00Z	3	A	639	0.02903	0.00996	213	NA	0.986	NA	216.02434077079107	98.99598393574297	0.6569066482948673	NA	3A	3A639	2018	2	33.96486393386152				NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	0	0	Reduction	Reduction	2018-04-29T18:00:00Z	119	2018-04-28T22:00:00Z	118	Normal	119	0	157	222	212	7.3525465864861	16.103381200615335	23.455927787101434
2018-08-15T00:00:00Z	3	B	823	0.03111	0.01322	264	NA	1.117	NA	236.34735899731425	84.49319213313161	0.5750562520090002	NA	3B	3B823	2018	2	35.9048537447766				NA	vegetative > flowering > vegetative	vegetative	flowering	vegetative	FALSE	1	1	Control	Mock rainout	2018-04-29T18:00:00Z	119	2018-04-28T22:00:00Z	118	Normal	119	0	157	222	212	7.3525465864861	32.20676240123067	39.55930898771677
2018-08-15T00:00:00Z	3	B	834	0.03023	0.00949	81	NA	0.985	NA	82.23350253807106	103.79346680716543	0.6860734369831294	NA	3B	3B834	2018	2	32.58352629837909				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	Control	Mock rainout	2018-04-29T18:00:00Z	119	2018-04-28T22:00:00Z	118	Normal	119	0	157	222	212	7.3525465864861	32.20676240123067	39.55930898771677
2018-08-15T00:00:00Z	3	B	616	0.03207	0.00972	182	NA	1.047	NA	173.82999044890164	107.71604938271605	0.6969130028063611	NA	3B	3B616	2018	2	32.64733395696913				NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	0	0	Control	Mock rainout	2018-04-29T18:00:00Z	119	2018-04-28T22:00:00Z	118	Normal	119	0	157	222	212	7.3525465864861	32.20676240123067	39.55930898771677
2018-08-15T00:00:00Z	3	B	608	0.04468	0.0145	119	NA	1.176	NA	101.19047619047619	81.10344827586206	0.6754700089525515	NA	3B	3B608	2018	2	26.32050134288272				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	Control	Mock rainout	2018-04-29T18:00:00Z	119	2018-04-28T22:00:00Z	118	Normal	119	0	157	222	212	7.3525465864861	32.20676240123067	39.55930898771677
2018-08-15T00:00:00Z	3	C	181	0.02264	0.00896	128	NA	0.798	NA	160.40100250626566	89.06250000000001	0.6042402826855124	NA	3C	3C181	2018	2	35.24734982332156		leaf20		NA	vegetative > vegetative > dead_nf	vegetative	vegetative	dead_nf	FALSE	0	1	Addition	Addition	2018-04-29T18:00:00Z	119	2018-04-28T22:00:00Z	118	Normal	119	0	157	222	212	7.3525465864861	128.45676240123066	135.80930898771678
