year	plotid	plant	plantid	plantid_uncorrected	date	VWC.plant	photosynthesis	conductance	WUE	notes	duplicate	plot	subplot	n_leaves	round	date.sm	date_diff	VWC.sm	discard	separate	modify	plantid_new	transition_fixed	status_18_fixed	status_19_fixed	status_20_fixed	modified	flowered	survived	water	water4	sun_time	sun_date	warm_time	warm_date	snow	sun_date_normal_mean	melt_offset	water_begin	water_end	last_day	precip_prewater_mm	precip_postwater_mm	precip_est_mm	VWC.sm.year	census	RGR	size
2018	2B	92	2B92	2B192	2018-07-13T00:00:00Z	NA	9.3708901375	0.044714245395	209.593	DRC updated plant number	NA	2	B	NA	2018-07-13	2018-07-16T00:00:00Z	2.97	5.68				NA	vegetative > flowering > flowering	vegetative	flowering	flowering	FALSE	1	1	Control	Mock rainout	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	4.276832370277091	36.83907882579586	41.11591119607295	3.63	19	NA	NA
2018	2C	268	2C268	2C258	2018-07-17T00:00:00Z	NA	17.174618275	0.10310852459	166.823	DRC updated plant number	NA	2	C	NA	2018-07-17	2018-07-16T00:00:00Z	1.01	3.18				NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	1	1	Reduction	Reduction	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	4.276832370277091	18.41953941289793	22.69637178317502	2.2399999999999998	19	0.5001681564967791	975
2018	2C	267	2C267	2C267	2018-07-03T00:00:00Z	NA	13.71430571	0.09644544122	142.086	NA	NA	2	C	NA	2018-07-03	2018-07-02T00:00:00Z	1.01	0.42				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	Reduction	Reduction	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	4.276832370277091	18.41953941289793	22.69637178317502	2.2399999999999998	19	-1.250393082605977	1782
2018	2C	270	2C270	2C270	2018-07-13T00:00:00Z	NA	18.16618922	0.2259183857	80.99	NA	NA	2	C	NA	2018-07-13	2018-07-16T00:00:00Z	2.97	3.18				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	Reduction	Reduction	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	4.276832370277091	18.41953941289793	22.69637178317502	2.2399999999999998	19	NA	1160
2018	2C	272	2C272	2C272	2018-07-27T00:00:00Z	NA	6.300992523	0.033869293665	186.369	NA	NA	2	C	NA	2018-07-27	2018-07-30T00:00:00Z	2.97	2.5		pheno19		NA	vegetative > vegetative > tagnf	vegetative	vegetative	tagnf	FALSE	0	1	Reduction	Reduction	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	4.276832370277091	18.41953941289793	22.69637178317502	2.2399999999999998	19	-0.628221960068524	2365
2018	2C	297	2C297	2C297	2018-07-06T00:00:00Z	NA	10.582960108	0.085540555135	125.943	NA	NA	2	C	NA	2018-07-06	2018-07-02T00:00:00Z	4.04	0.42		census20 pheno20 floral20 volatiles20 seeds20		NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	0	0	Reduction	Reduction	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	4.276832370277091	18.41953941289793	22.69637178317502	2.2399999999999998	19	NA	4854
2018	2C	298	2C298	2C298	2018-07-10T00:00:00Z	NA	3.0308507705	0.019447239035	156.425	NA	NA	2	C	NA	2018-07-10	2018-07-16T00:00:00Z	5.94	3.18				NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	1	1	Reduction	Reduction	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	4.276832370277091	18.41953941289793	22.69637178317502	2.2399999999999998	19	-0.7067999427409006	1392
2018	2D	187	2D187	2D187	2018-07-27T00:00:00Z	NA	50.136275505	0.9092889684	55.335	NA	NA	2	D	NA	2018-07-27	2018-07-30T00:00:00Z	2.97	6.720000000000001				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	Addition	Addition	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	4.276832370277091	133.08907882579587	137.36591119607294	6.295	19	0.4519577521737656	1063
2018	2D	193	2D193	2D193	2018-07-13T00:00:00Z	NA	22.695940315	0.4261215944	53.262	NA	NA	2	D	NA	2018-07-13	2018-07-16T00:00:00Z	2.97	9.379999999999999				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	Addition	Addition	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	4.276832370277091	133.08907882579587	137.36591119607294	6.295	19	1.072964457207606	465
2018	2D	194	2D194	2D194	2018-07-06T00:00:00Z	NA	16.26301	0.101939	159.5411	DRC updated WUE value	NA	2	D	NA	2018-07-06	2018-07-02T00:00:00Z	4.04	2.18				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	Addition	Addition	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	4.276832370277091	133.08907882579587	137.36591119607294	6.295	19	1.448050248287744	459
2018	2D	196	2D196	2D196	2018-07-10T00:00:00Z	NA	14.737901135	0.18681729445	79.05	NA	NA	2	D	NA	2018-07-10	2018-07-16T00:00:00Z	5.94	9.379999999999999		census20 leaf20		NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	0	0	Addition	Addition	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	4.276832370277091	133.08907882579587	137.36591119607294	6.295	19	NA	900
2018	2D	197	2D197	2D197	2018-07-17T00:00:00Z	NA	28.519848845	0.3098600498	91.742	NA	NA	2	D	NA	2018-07-17	2018-07-16T00:00:00Z	1.01	9.379999999999999		census20 leaf20		NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	0	0	Addition	Addition	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	4.276832370277091	133.08907882579587	137.36591119607294	6.295	19	NA	594
