plantid	notes	observer	date	plot	subplot	plant	inflor	height_cm	open_1	buds_1	eggs_1	open_2	buds_2	eggs_2	open_3	buds_3	eggs_3	open_4	buds_4	eggs_4	open_5	buds_5	eggs_5	open_6	buds_6	eggs_6	open_7	buds_7	eggs_7	damage	plotid	julian	year	discard	separate	modify	plantid_new	transition_fixed	status_18_fixed	status_19_fixed	status_20_fixed	status_21_fixed	modified	flowered	survived
2A94	NA	JP	2020-07-03T00:00:00Z	2	A	94	1	35	5	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2A	185	2020				NA	no_record > vegetative > flowering	no_record	vegetative	flowering	dead_nf	FALSE	0	0
2A285	NA	JP	2020-07-03T00:00:00Z	2	A	285	1	44	5	3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2A	185	2020				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	dead_nf	FALSE	0	0
2A589	NA	JP	2020-07-03T00:00:00Z	2	A	589	1	41	2	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bent	2A	185	2020				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	dead_nf	FALSE	0	0
2A694	knocked out egg	JP	2020-07-03T00:00:00Z	2	A	694	1	40	4	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2A	185	2020				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	dead_nf	FALSE	0	0
2B138	NA	JP	2020-07-03T00:00:00Z	2	B	138	1	39	4	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2B	185	2020				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	dead_nf	FALSE	0	0
2B81	NA	JP	2020-07-03T00:00:00Z	2	B	81	1	25	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	chewed	2B	185	2020				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	dead_nf	FALSE	0	0
2B86	NA	JP	2020-07-03T00:00:00Z	2	B	86	1	32	4	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2B	185	2020				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	dead_nf	FALSE	0	0
2B83	NA	JP	2020-07-03T00:00:00Z	2	B	83	1	29	2	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	chewed	2B	185	2020				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	dead_nf	FALSE	0	0
2B89	NA	JP	2020-07-03T00:00:00Z	2	B	89	1	27	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2B	185	2020				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	dead_nf	FALSE	0	0
2B92	NA	JP	2020-07-03T00:00:00Z	2	B	92	1	24	3	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2B	185	2020				NA	vegetative > flowering > flowering	vegetative	flowering	flowering	dead_nf	FALSE	0	0
